timestamp,distance_cm,altitude_angle_deg,azimuth_angle_deg,scan_repeat
1760412825.9822865,12.0,127,8,0
1760412826.0244856,12.0,128,8,0
1760412826.0661285,12.0,129,8,0
1760412826.109106,12.0,130,8,0
1760412826.151035,12.0,131,8,0
1760412826.1928446,12.0,132,8,0
1760412826.2352438,12.0,133,8,0
1760412826.2775588,12.25,134,8,0
1760412826.3194687,13.0,135,8,0
1760412826.3615441,13.0,136,8,0
1760412826.4031224,12.25,137,8,0
1760412826.4462388,12.0,138,8,0
1760412826.4893918,12.0,139,8,0
1760412826.5321264,12.0,140,8,0
1760412826.574402,12.0,141,8,0
1760412826.6161582,12.0,142,8,0
1760412826.6583133,12.0,143,8,0
1760412826.699705,12.75,144,8,0
1760412826.7426176,13.8,145,9,0
1760412826.785555,14.5,144,9,0
1760412826.828525,15.0,143,9,0
1760412826.8701472,15.0,142,9,0
1760412826.9120302,15.0,141,9,0
1760412826.9537702,14.25,140,9,0
1760412826.9954336,13.25,139,9,0
1760412827.0372796,12.5,138,9,0
1760412827.0796971,12.0,137,9,0
1760412827.1215994,12.0,136,9,0
1760412827.163966,12.0,135,9,0
1760412827.2065554,12.25,134,9,0
1760412827.2484963,13.0,133,9,0
1760412827.290615,13.0,132,9,0
1760412827.3323848,13.0,131,9,0
1760412827.3739784,13.0,130,9,0
1760412827.4152806,13.0,129,9,0
1760412827.4579499,13.0,128,9,0
1760412827.4999619,13.0,127,9,0
1760412827.5415993,13.0,126,9,0
1760412827.583483,13.0,125,9,0
1760412827.6255689,13.0,124,9,0
1760412827.6676862,13.0,123,9,0
1760412827.7098734,13.0,122,9,0
1760412827.751666,13.0,121,9,0
1760412827.7937715,13.0,120,9,0
1760412827.8361661,13.0,119,9,0
1760412827.8783443,13.0,118,9,0
1760412827.9202967,13.0,117,9,0
1760412827.9624975,13.0,116,9,0
1760412828.0044725,13.75,115,9,0
1760412828.0460546,14.0,114,9,0
1760412828.088326,14.0,113,9,0
1760412828.1302037,14.5,112,9,0
1760412828.171632,15.0,111,9,0
1760412828.2132194,15.0,110,9,0
1760412828.2553666,15.0,109,9,0
1760412828.2977264,15.0,108,9,0
1760412828.3397663,15.0,107,9,0
1760412828.382288,14.5,106,9,0
1760412828.424004,14.75,105,9,0
1760412828.4662156,13.75,104,9,0
1760412828.5075457,13.0,103,9,0
1760412828.549113,13.0,102,9,0
1760412828.5905836,13.0,101,9,0
1760412828.631955,12.5,100,9,0
1760412828.6736333,12.0,99,9,0
1760412828.7157648,12.2,98,9,0
1760412828.7575831,12.0,97,9,0
1760412828.7993097,12.0,96,9,0
1760412828.8413506,11.5,95,9,0
1760412828.883548,11.25,94,9,0
1760412828.92549,11.0,93,9,0
1760412828.9671886,11.0,92,9,0
1760412829.0095062,11.0,91,9,0
1760412829.0512226,11.0,90,10,0
1760412829.0944085,10.2,91,10,0
1760412829.1356537,10.0,92,10,0
1760412829.177134,10.25,93,10,0
1760412829.2190542,10.75,94,10,0
1760412829.2611032,11.0,95,10,0
1760412829.3032072,11.0,96,10,0
1760412829.3452418,11.0,97,10,0
1760412829.3867645,11.0,98,10,0
1760412829.42843,12.0,99,10,0
1760412829.4698796,12.25,100,10,0
1760412829.5110815,13.0,101,10,0
1760412829.5529916,13.0,102,10,0
1760412829.59538,13.0,103,10,0
1760412829.6379695,13.0,104,10,0
1760412829.6804738,13.0,105,10,0
1760412829.7227576,13.75,106,10,0
1760412829.764495,14.25,107,10,0
1760412829.8059413,15.0,108,10,0
1760412829.8475382,15.0,109,10,0
1760412829.889051,15.0,110,10,0
1760412829.93042,15.5,111,10,0
1760412829.971996,16.0,112,10,0
1760412830.0142984,15.4,113,10,0
1760412830.0559087,15.0,114,10,0
1760412830.097919,15.0,115,10,0
1760412830.1402113,15.0,116,10,0
1760412830.1823602,14.5,117,10,0
1760412830.2246416,14.25,118,10,0
1760412830.2659864,14.0,119,10,0
1760412830.3076649,14.0,120,10,0
1760412830.3498414,13.75,121,10,0
1760412830.3920913,13.0,122,10,0
1760412830.4337327,13.0,123,10,0
1760412830.4762063,13.0,124,10,0
1760412830.5190525,13.0,125,10,0
1760412830.5609632,13.0,126,10,0
1760412830.6029415,13.0,127,10,0
1760412830.6447706,13.0,128,10,0
1760412830.6868427,13.0,129,10,0
1760412830.729913,13.0,130,10,0
1760412830.7719247,13.0,131,10,0
1760412830.81399,13.0,132,10,0
1760412830.8562052,13.0,133,10,0
1760412830.8980253,13.0,134,10,0
1760412830.9397154,13.0,135,10,0
1760412830.9815137,13.0,136,10,0
1760412831.0229528,13.0,137,10,0
1760412831.0645156,13.0,138,10,0
1760412831.1062937,13.0,139,10,0
1760412831.1486511,13.0,140,10,0
1760412831.190064,13.0,141,10,0
1760412831.2318962,13.0,142,10,0
1760412831.2741153,13.75,143,10,0
1760412831.316853,14.75,144,10,0
1760412831.3593628,15.0,145,11,0
1760412831.401583,15.0,144,11,0
1760412831.4435518,15.0,143,11,0
1760412831.4868302,15.0,142,11,0
1760412831.5288248,15.0,141,11,0
1760412831.571016,15.0,140,11,0
1760412831.6135345,15.0,139,11,0
1760412831.6551821,14.25,138,11,0
